timestamp,ticker,close,open,high,low
2004-08-19,GOOGLE,50.220219,50.050049,52.082081,48.028027
2004-08-20,GOOGLE,54.209209,50.555557,54.594593,50.300301
2004-08-23,GOOGLE,54.754753,55.430431,56.796795,54.579578
2004-08-24,GOOGLE,52.487488,55.675674,55.855854,51.836838
2004-08-25,GOOGLE,53.053055,52.532532,54.054054,51.991993
2004-08-26,GOOGLE,54.00901,52.527527,54.02903,52.382381
2004-08-27,GOOGLE,53.128128,54.104103,54.364365,52.8979
2004-08-30,GOOGLE,51.056057,52.692692,52.797798,51.056057
2004-08-31,GOOGLE,51.236237,51.201202,51.906906,51.13113
2004-09-01,GOOGLE,50.175175,51.401402,51.536537,49.884884
2004-09-02,GOOGLE,50.805805,49.644646,51.236237,49.51952
2004-09-03,GOOGLE,50.055054,50.525524,50.920921,49.709709
2004-09-07,GOOGLE,50.840839,50.555557,51.051052,49.854855
2004-09-08,GOOGLE,51.201202,50.420422,51.566566,50.300301
2004-09-09,GOOGLE,51.206207,51.316315,51.406406,50.550552
2004-09-10,GOOGLE,52.717716,50.850849,53.333332,50.700699
2004-09-13,GOOGLE,53.803802,53.36837,54.259258,53.283283
2004-09-14,GOOGLE,55.8008,53.778778,56.056057,53.448448
2004-09-15,GOOGLE,56.056057,55.335335,57.172173,55.155155
2004-09-16,GOOGLE,57.042042,56.226227,57.957958,55.880882
2004-09-17,GOOGLE,58.803802,57.267269,58.803802,56.831833
2004-09-20,GOOGLE,59.739738,58.533535,60.860863,58.443443
2004-09-21,GOOGLE,58.978977,59.964966,60.270271,58.813812
2004-09-22,GOOGLE,59.249249,58.758759,59.894894,58.463463
2004-09-23,GOOGLE,60.47047,59.479481,61.376377,58.568569
2004-09-24,GOOGLE,59.974976,60.530529,62.112114,59.939941
2004-09-27,GOOGLE,59.18919,59.83984,60.5005,58.958958
2004-09-28,GOOGLE,63.493492,60.710712,63.763763,60.165165
2004-09-29,GOOGLE,65.605606,63.413414,67.577576,63.178177
2004-09-30,GOOGLE,64.864868,65.015015,66.216217,64.564568
2004-10-01,GOOGLE,66.356354,65.465462,67.187187,64.514511
2004-10-04,GOOGLE,67.597595,67.692696,68.503502,67.082085
2004-10-05,GOOGLE,69.254257,67.3974,69.334335,66.186188
2004-10-06,GOOGLE,68.608612,68.843842,69.294296,68.068069
2004-10-07,GOOGLE,69.494492,68.528526,70.01001,68.343346
2004-10-08,GOOGLE,68.933937,69.429428,69.909912,68.578575
2004-10-11,GOOGLE,67.697701,68.568565,69.499496,66.991989
2004-10-12,GOOGLE,68.768768,67.287285,68.873871,66.766769
2004-10-13,GOOGLE,70.520523,71.731735,71.846848,70.110107
2004-10-14,GOOGLE,71.071068,70.575577,71.261261,69.34935
2004-10-15,GOOGLE,72.127129,72.537537,72.822823,71.046043
2004-10-18,GOOGLE,74.654655,71.671669,74.674675,70.675674
2004-10-19,GOOGLE,74.044044,75.325325,76.276276,73.748749
2004-10-20,GOOGLE,70.315315,74.089088,74.569572,69.869873
2004-10-21,GOOGLE,74.764763,72.27227,75.140137,70.880882
2004-10-22,GOOGLE,86.3013,85.355354,90.175179,82.122124
2004-10-25,GOOGLE,93.793793,88.288292,97.312309,86.361359
2004-10-26,GOOGLE,90.99099,93.26326,96.41642,90.090088
2004-10-27,GOOGLE,93.078079,91.451454,94.854858,90.975975
2004-10-28,GOOGLE,96.74675,93.433434,97.29229,92.892891
2004-10-29,GOOGLE,95.415413,99.544548,100.075073,95.395393
2004-11-01,GOOGLE,98.113113,96.871872,98.933937,95.730728
2004-11-02,GOOGLE,97.532532,99.489487,99.724724,96.766769
2004-11-03,GOOGLE,95.930931,99.189186,100.900902,95.470474
2004-11-04,GOOGLE,92.442444,94.314316,95.295296,91.766769
2004-11-05,GOOGLE,84.759758,91.081078,91.241241,84.35936
2004-11-08,GOOGLE,86.361359,85.550552,87.807808,84.784782
2004-11-09,GOOGLE,84.434433,87.137138,87.687691,82.71772
2004-11-10,GOOGLE,84.014015,85.420418,86.346344,83.248245
2004-11-11,GOOGLE,91.601601,84.649651,91.966965,83.868866
2004-11-12,GOOGLE,91.091087,92.70771,94.994995,88.788788
2004-11-15,GOOGLE,92.527527,90.315315,94.254257,89.464462
2004-11-16,GOOGLE,86.356354,88.838837,89.824821,85.500504
2004-11-17,GOOGLE,86.336334,84.594597,88.838837,84.584587
2004-11-18,GOOGLE,83.853851,85.230232,87.297295,82.947945
2004-11-19,GOOGLE,84.784782,84.634636,85.075073,83.343346
2004-11-22,GOOGLE,82.632629,82.317314,84.834831,80.735733
2004-11-23,GOOGLE,83.843842,84.069069,85.500504,83.333336
2004-11-24,GOOGLE,87.467468,87.497498,88.693695,86.341339
2004-11-26,GOOGLE,89.784782,87.987991,90.105103,87.747749
2004-11-29,GOOGLE,90.615616,90.270271,91.566566,88.843842
2004-11-30,GOOGLE,91.081078,90.445442,91.591591,90.215218
2004-12-01,GOOGLE,90.070068,91.066063,91.341339,89.864868
2004-12-02,GOOGLE,89.789787,90.040039,90.845848,89.364365
2004-12-03,GOOGLE,90.290291,90.065063,90.620621,88.888885
2004-12-06,GOOGLE,88.233231,89.654655,90.440437,88.098099
2004-12-07,GOOGLE,85.800804,88.088089,88.188187,85.360359
2004-12-08,GOOGLE,85.075073,85.260262,86.926926,84.449448
2004-12-09,GOOGLE,86.801804,85.210213,86.836838,84.319321
2004-12-10,GOOGLE,85.910912,86.801804,87.527527,85.730728
2004-12-13,GOOGLE,85.31031,86.171173,86.676674,84.809807
